[AEROPORTS]
# Nom X Y RayonControle
Paris 0 0 80000
Lille 85000 325000 60000
Strasbourg 650000 40000 60000
Lyon 350000 -400000 70000
Nice 655000 -720000 60000
Marseille 425000 -785000 70000
Toulouse -100000 -750000 70000
Bordeaux -400000 -500000 70000
Nantes -475000 -190000 60000
Rennes -500000 -50000 60000
Ajaccio 620000 -950000 50000

[AVIONS]
# Nom Vitesse VitesseSol Carburant Conso DureeParking Depart Destination
AF101 4000 20 10000 10 5000 Paris Nice
AF102 4000 20 10000 10 5000 Lyon Lille
AF103 4000 20 10000 10 5000 Marseille Strasbourg
AF104 4000 20 10000 10 5000 Toulouse Paris
AF105 4000 20 10000 10 5000 Bordeaux Nantes
AF106 4000 20 10000 10 5000 Nice Ajaccio
AF107 4000 20 10000 10 5000 Rennes Lyon
AF108 4000 20 10000 10 5000 Strasbourg Bordeaux
AF109 4000 20 10000 10 5000 Ajaccio Paris
AF110 4000 20 10000 10 5000 Lille Marseille
AF111 4000 20 10000 10 5000 Nantes Toulouse
AF112 4000 20 10000 10 5000 Paris Lyon
AF113 4000 20 10000 10 5000 Nice Bordeaux
AF114 4000 20 10000 10 5000 Marseille Rennes
AF115 4000 20 10000 10 5000 Toulouse Strasbourg
AF116 4000 20 10000 10 5000 Bordeaux Lille
AF117 4000 20 10000 10 5000 Nantes Ajaccio
AF118 4000 20 10000 10 5000 Rennes Nice
AF119 4000 20 10000 10 5000 Ajaccio Lyon
AF120 4000 20 10000 10 5000 Lille Paris
AF121 4000 20 10000 10 5000 Strasbourg Marseille
AF122 4000 20 10000 10 5000 Lyon Toulouse
AF123 4000 20 10000 10 5000 Nice Nantes
AF124 4000 20 10000 10 5000 Marseille Bordeaux
AF125 4000 20 10000 10 5000 Toulouse Rennes
AF126 4000 20 10000 10 5000 Bordeaux Ajaccio
AF127 4000 20 10000 10 5000 Nantes Lille
AF128 4000 20 10000 10 5000 Rennes Strasbourg
AF129 4000 20 10000 10 5000 Ajaccio Marseille
AF130 4000 20 10000 10 5000 Paris Toulouse
AF131 4000 20 10000 10 5000 Lille Nice
AF132 4000 20 10000 10 5000 Strasbourg Nantes
AF133 4000 20 10000 10 5000 Lyon Rennes
AF134 4000 20 10000 10 5000 Nice Paris
AF135 4000 20 10000 10 5000 Marseille Lille
AF136 4000 20 10000 10 5000 Toulouse Lyon
AF137 4000 20 10000 10 5000 Bordeaux Strasbourg
AF138 4000 20 10000 10 5000 Nantes Paris
AF139 4000 20 10000 10 5000 Rennes Bordeaux
AF140 4000 20 10000 10 5000 Ajaccio Toulouse
AF141 4000 20 10000 10 5000 Paris Marseille
AF142 4000 20 10000 10 5000 Lille Ajaccio
AF143 4000 20 10000 10 5000 Strasbourg Nice
AF144 4000 20 10000 10 5000 Lyon Nantes
AF145 4000 20 10000 10 5000 Nice Rennes
AF146 4000 20 10000 10 5000 Marseille Paris
AF147 4000 20 10000 10 5000 Toulouse Lille
AF148 4000 20 10000 10 5000 Bordeaux Lyon
AF149 4000 20 10000 10 5000 Nantes Marseille
AF150 4000 20 10000 10 5000 Rennes Ajaccio
